Team,Year,Wins,Losses,Ties,Classification,QB,RB,WR,TE,OL,Offense,DL,LB,S,CB,Defense,SpecialTeams,DeadMoney,Total,CapMax,PercentUsed
49ers,2013.0,12.0,4.0,0.0,Good,2843160.0,9257768.0,16945177.0,10569598.0,17479156.0,57094859.0,11028483.0,17860800.0,10696955.0,12885741.0,52471979.0,6831666.0,6601496.0,116398504.0,123000000.0,0.9463293008130081
Bears,2013.0,8.0,8.0,0.0,Mediocre,11276471.0,12036166.0,16580067.0,2495000.0,10071052.0,52458756.0,29744128.0,12474915.0,3802254.0,15375000.0,61396297.0,6290000.0,2854947.0,120145053.0,123000000.0,0.9767890487804878
Bengals,2013.0,11.0,5.0,0.0,Good,2760833.0,5750703.0,8628272.0,5005166.0,22288147.0,44433121.0,38698754.0,8370673.0,5834061.0,16118302.0,69021790.0,5660000.0,3885089.0,119114911.0,123000000.0,0.9684139105691056
Bills,2013.0,6.0,10.0,0.0,Bad,4663940.0,8362867.0,8979223.0,4489668.0,14455361.0,40951059.0,29011040.0,6284838.0,10503423.0,7069748.0,52869049.0,2358844.0,26821048.0,96178952.0,123000000.0,0.7819426991869919
Broncos,2013.0,13.0,3.0,0.0,Good,18716295.0,5013752.0,10120554.0,8013902.0,25448424.0,67312927.0,12040751.0,12951882.0,5858346.0,17559225.0,48410204.0,5793833.0,1483036.0,121516964.0,123000000.0,0.9879427967479675
Browns,2013.0,4.0,12.0,0.0,Bad,4171299.0,2200883.0,5665825.0,2620527.0,23789034.0,38447568.0,21502679.0,20237182.0,2398318.0,10928931.0,55067110.0,2015000.0,27470322.0,95529678.0,123000000.0,0.7766640487804878
Buccaneers,2013.0,4.0,12.0,0.0,Bad,1184375.0,4644753.0,13771326.0,2393504.0,25305673.0,47299631.0,19183871.0,6396562.0,13033579.0,19419921.0,58033933.0,4810000.0,12856436.0,110143564.0,123000000.0,0.8954761300813008
Cardinals,2013.0,10.0,6.0,0.0,Good,6172993.0,5306754.0,15022466.0,4353078.0,19069690.0,49924981.0,20498000.0,13311655.0,2809618.0,10407900.0,47027173.0,4716666.0,21331180.0,101668820.0,123000000.0,0.8265757723577236
Chargers,2013.0,9.0,7.0,0.0,Mediocre,15996516.0,8212583.0,10926398.0,8795715.0,17428226.0,61359438.0,6241425.0,18315172.0,11490435.0,4839588.0,40886620.0,5652500.0,15101442.0,107898558.0,123000000.0,0.8772240487804878
Chiefs,2013.0,11.0,5.0,0.0,Good,10708333.0,6779755.0,7268150.0,3435650.0,20708982.0,48900870.0,13759289.0,22533136.0,13251425.0,13096878.0,62640728.0,3888750.0,7569652.0,115430348.0,123000000.0,0.9384581138211382
Colts,2013.0,11.0,5.0,0.0,Good,8524545.0,7237379.0,11908481.0,2615661.0,18601449.0,48887515.0,13140390.0,20991429.0,13323235.0,9596407.0,57051461.0,6857000.0,10204024.0,112795976.0,123000000.0,0.9170404552845528
Cowboys,2013.0,8.0,8.0,0.0,Mediocre,13818982.0,2257011.0,8120768.0,5623758.0,19470710.0,49291229.0,5814913.0,26468546.0,3220898.0,13029474.0,48533831.0,2095833.0,23079107.0,99920893.0,123000000.0,0.8123649837398373
Dolphins,2013.0,8.0,8.0,0.0,Mediocre,5859205.0,2412352.0,8242874.0,6007127.0,17638011.0,40159569.0,27792257.0,9006508.0,5027138.0,13351955.0,55177858.0,3179890.0,24482683.0,98517317.0,123000000.0,0.8009537967479675
Eagles,2013.0,10.0,6.0,0.0,Good,13385137.0,10184362.0,19199989.0,5509036.0,25664899.0,73943423.0,14205767.0,11292817.0,6920158.0,6032738.0,38451480.0,2320027.0,8285070.0,114714930.0,123000000.0,0.9326417073170732
Falcons,2013.0,4.0,12.0,0.0,Bad,10920140.0,6293062.0,17406642.0,6938146.0,16471155.0,58029145.0,17946068.0,8433728.0,7249890.0,9276181.0,42905867.0,4022283.0,18042705.0,104957295.0,123000000.0,0.8533113414634146
Giants,2013.0,7.0,9.0,0.0,Mediocre,21998400.0,5036739.0,8677626.0,2998913.0,24235900.0,62947578.0,14642808.0,7916847.0,12704990.0,11202110.0,46466755.0,3494000.0,10091667.0,112908333.0,123000000.0,0.9179539268292682
Jaguars,2013.0,4.0,12.0,0.0,Bad,8347588.0,8982941.0,6832868.0,7160882.0,14764080.0,46088359.0,13923225.0,13544999.0,3396626.0,2807072.0,33671922.0,4368871.0,38870848.0,84129152.0,123000000.0,0.6839768455284553
Jets,2013.0,8.0,8.0,0.0,Mediocre,14759015.0,4154535.0,12811933.0,2593765.0,21528632.0,55847880.0,5447833.0,19656284.0,3028114.0,12965418.0,41097649.0,1672352.0,24382119.0,98617881.0,123000000.0,0.8017713902439024
Lions,2013.0,7.0,9.0,0.0,Mediocre,21556666.0,3987009.0,15281546.0,4207277.0,13221451.0,58253949.0,22485856.0,10479067.0,4758334.0,6133807.0,43857064.0,1685075.0,19203912.0,103796088.0,123000000.0,0.8438706341463414
Packers,2013.0,8.0,7.0,1.0,Mediocre,13013000.0,2429420.0,10223980.0,11341695.0,17540974.0,54549069.0,16546195.0,21036760.0,5083802.0,13957143.0,56623900.0,4276250.0,7550781.0,115449219.0,123000000.0,0.9386115365853659
Panthers,2013.0,12.0,4.0,0.0,Good,7579454.0,11315450.0,10702213.0,4325000.0,18885126.0,52807243.0,16170994.0,12890911.0,6639853.0,3244456.0,38946214.0,2079670.0,29166873.0,93833127.0,123000000.0,0.7628709512195122
Patriots,2013.0,12.0,4.0,0.0,Good,14603953.0,3682367.0,8749814.0,4150882.0,22775490.0,53962506.0,21590202.0,10801171.0,7386653.0,8618787.0,48396813.0,4360500.0,16280181.0,106719819.0,123000000.0,0.8676408048780487
Raiders,2013.0,4.0,12.0,0.0,Bad,1146517.0,11660884.0,4609651.0,1496363.0,10275023.0,29188438.0,7242262.0,6548030.0,6752294.0,6688580.0,27231166.0,6491166.0,60089230.0,62910770.0,123000000.0,0.511469674796748
Rams,2013.0,7.0,9.0,0.0,Mediocre,13422823.0,2637944.0,5479738.0,6187555.0,19240160.0,46968220.0,23343366.0,15693252.0,3645196.0,17453159.0,60134973.0,1651371.0,14245436.0,108754564.0,123000000.0,0.8841834471544715
Ravens,2013.0,8.0,8.0,0.0,Mediocre,7381327.0,7936927.0,7932810.0,3966000.0,16354916.0,43571980.0,17852491.0,23412159.0,3813423.0,10949281.0,56027354.0,3735000.0,19665666.0,103334334.0,123000000.0,0.8401165365853659
Redskins,2013.0,3.0,13.0,0.0,Bad,5972967.0,2212882.0,19585321.0,4639357.0,20025614.0,52436141.0,14227749.0,19629100.0,4619719.0,7102431.0,45578999.0,2650000.0,22334860.0,100665140.0,123000000.0,0.8184157723577236
Saints,2013.0,11.0,5.0,0.0,Good,18193235.0,9159749.0,11679433.0,3245951.0,17964025.0,60242393.0,17728724.0,14015416.0,9960582.0,11598369.0,53303091.0,2775294.0,6679222.0,116320778.0,123000000.0,0.9456973821138212
Seahawks,2013.0,13.0,3.0,0.0,Good,1521085.0,10799653.0,16831423.0,12778788.0,27955261.0,69886210.0,32619341.0,7377232.0,8579619.0,3557545.0,52133737.0,2792500.0,-1812447.0,124812447.0,123000000.0,1.0147353414634146
Steelers,2013.0,8.0,8.0,0.0,Mediocre,15393138.0,2549641.0,8697844.0,9207474.0,10734255.0,46582352.0,12586770.0,21979116.0,16480395.0,11069889.0,62116170.0,2676324.0,11625154.0,111374846.0,123000000.0,0.9054865528455285
Texans,2013.0,2.0,14.0,0.0,Bad,11756250.0,10909839.0,14247672.0,6948519.0,18690874.0,62553154.0,15386734.0,11351449.0,7261547.0,16655776.0,50655506.0,2476610.0,7314730.0,115685270.0,123000000.0,0.9405306504065041
Titans,2013.0,7.0,9.0,0.0,Mediocre,6336958.0,15376098.0,12686896.0,6979500.0,26721984.0,68101436.0,15222821.0,5740835.0,10777066.0,9602477.0,41343199.0,4640041.0,8915324.0,114084676.0,123000000.0,0.9275176910569106
Vikings,2013.0,5.0,10.0,1.0,Bad,8470555.0,15752110.0,10453987.0,4582245.0,20329032.0,59587929.0,35975500.0,13588356.0,5691438.0,4281849.0,59537143.0,2010531.0,1864397.0,121135603.0,123000000.0,0.9848423008130082
49ers,2014.0,8.0,8.0,0.0,Mediocre,6114325.0,8804558.0,14014025.0,9364040.0,22908605.0,61205553.0,14858320.0,24211352.0,7042189.0,7623157.0,53735018.0,4970000.0,13089429.0,119910571.0,133000000.0,0.9015832406015037
Bears,2014.0,5.0,11.0,0.0,Bad,19219118.0,9580845.0,11977950.0,7234947.0,16515321.0,64528181.0,18588037.0,10686451.0,4434278.0,11635097.0,45343863.0,3750445.0,19377511.0,113622489.0,133000000.0,0.8543044285714285
Bengals,2014.0,10.0,5.0,1.0,Good,10928123.0,3654864.0,10856116.0,8253862.0,19718975.0,53411940.0,30758457.0,13702366.0,6534061.0,17739200.0,68734084.0,4480000.0,6373976.0,126626024.0,133000000.0,0.9520753684210527
Bills,2014.0,9.0,7.0,0.0,Mediocre,6126486.0,11520979.0,6857046.0,3098194.0,19208595.0,46811300.0,33350932.0,16584051.0,7300537.0,12531233.0,69766753.0,3886667.0,12535280.0,120464720.0,133000000.0,0.9057497744360902
Broncos,2014.0,12.0,4.0,0.0,Good,18629094.0,2748063.0,18771159.0,3669295.0,25213332.0,69030943.0,19277963.0,10658503.0,7141122.0,15320403.0,52397991.0,4134862.0,7436204.0,125563796.0,133000000.0,0.9440886917293233
Browns,2014.0,7.0,9.0,0.0,Mediocre,2807980.0,1529301.0,10771737.0,4683350.0,30648671.0,50441039.0,19290519.0,19172353.0,6699334.0,17398562.0,62560768.0,1293529.0,18704664.0,114295336.0,133000000.0,0.8593634285714286
Buccaneers,2014.0,2.0,14.0,0.0,Bad,5512169.0,3929661.0,17087432.0,4010280.0,20487478.0,51027020.0,40085083.0,5214997.0,10665150.0,12689893.0,68655123.0,4090000.0,9227857.0,123772143.0,133000000.0,0.9306176165413533
Cardinals,2014.0,11.0,5.0,0.0,Good,16441995.0,2653397.0,14667325.0,4298132.0,13774076.0,51834925.0,25825251.0,16514133.0,3473804.0,16867423.0,62680611.0,1861579.0,16622885.0,116377115.0,133000000.0,0.8750159022556391
Chargers,2014.0,9.0,7.0,0.0,Mediocre,17856766.0,8605886.0,10851816.0,9315091.0,19973727.0,66603286.0,7275737.0,18069498.0,13044216.0,6186511.0,44575962.0,2643088.0,19177664.0,113822336.0,133000000.0,0.8558070375939849
Chiefs,2014.0,9.0,7.0,0.0,Mediocre,8786939.0,11495196.0,17692219.0,6165390.0,12179435.0,56319179.0,14297941.0,24232568.0,14757053.0,8579227.0,61866789.0,4815666.0,9998366.0,123001634.0,133000000.0,0.9248243157894737
Colts,2014.0,11.0,5.0,0.0,Good,9779454.0,4019936.0,11951863.0,2894739.0,16559625.0,45205617.0,18595139.0,24218804.0,7474934.0,15753451.0,66042328.0,5770000.0,15982055.0,117017945.0,133000000.0,0.8798341729323308
Cowboys,2014.0,12.0,4.0,0.0,Good,12764666.0,2815945.0,5655361.0,9965144.0,21509863.0,52710979.0,10653530.0,10078315.0,3619379.0,21783154.0,46134378.0,3350000.0,30804643.0,102195357.0,133000000.0,0.7683861428571429
Dolphins,2014.0,8.0,8.0,0.0,Mediocre,9024346.0,5275190.0,28597229.0,2453213.0,19009521.0,64359499.0,24861738.0,19901899.0,7286117.0,12603136.0,64652890.0,5092343.0,-1104732.0,134104732.0,133000000.0,1.0083062556390978
Eagles,2014.0,10.0,6.0,0.0,Good,3772237.0,16415834.0,10693053.0,5720045.0,29459266.0,66060435.0,16561275.0,17603337.0,7603608.0,13632290.0,55400510.0,2808333.0,8730722.0,124269278.0,133000000.0,0.9343554736842106
Falcons,2014.0,6.0,10.0,0.0,Bad,18576474.0,6980028.0,17966288.0,1247246.0,26463166.0,71233202.0,24351290.0,7666852.0,7645545.0,5342576.0,45006263.0,5152284.0,11608251.0,121391749.0,133000000.0,0.9127199172932331
Giants,2014.0,6.0,10.0,0.0,Bad,21008400.0,5120134.0,12922572.0,2083825.0,18841638.0,59976569.0,13113573.0,14621482.0,14117378.0,11998314.0,53850747.0,4475000.0,14697684.0,118302316.0,133000000.0,0.8894910977443609
Jaguars,2014.0,3.0,13.0,0.0,Bad,9554830.0,6308882.0,8703307.0,10592682.0,16247624.0,51407325.0,28827556.0,13828131.0,4265477.0,3681002.0,50602166.0,5453856.0,25536653.0,107463347.0,133000000.0,0.8079950902255639
Jets,2014.0,4.0,12.0,0.0,Bad,5402878.0,6138225.0,14682201.0,3321133.0,27006154.0,56550591.0,9226734.0,15437435.0,4571367.0,7604495.0,36840031.0,4890000.0,34719378.0,98280622.0,133000000.0,0.738952045112782
Lions,2014.0,11.0,5.0,0.0,Good,17031668.0,6083043.0,18606777.0,5346687.0,11871158.0,58939333.0,38109250.0,13479446.0,5342000.0,4023173.0,60953869.0,1572428.0,11534370.0,121465630.0,133000000.0,0.9132754135338346
Packers,2014.0,12.0,4.0,0.0,Good,19273750.0,2850778.0,9395943.0,2464445.0,18989544.0,52974460.0,7450236.0,34901978.0,7570989.0,19240070.0,69163273.0,5476250.0,5386017.0,127613983.0,133000000.0,0.9595036315789474
Panthers,2014.0,7.0,8.0,1.0,Mediocre,8743113.0,15241700.0,4162200.0,9592200.0,16431582.0,54170795.0,33189527.0,9299071.0,4923626.0,1839412.0,49251636.0,3319670.0,26257899.0,106742101.0,133000000.0,0.8025721879699248
Patriots,2014.0,12.0,4.0,0.0,Good,15446036.0,4537291.0,13923556.0,7369559.0,15395126.0,56671568.0,16148688.0,12844605.0,8563385.0,15032481.0,52589159.0,4940500.0,18798773.0,114201227.0,133000000.0,0.8586558421052631
Raiders,2014.0,3.0,13.0,0.0,Bad,9471691.0,6996329.0,9015614.0,1400205.0,17354097.0,44237936.0,22786638.0,5264934.0,13433828.0,11631671.0,53117071.0,4707834.0,30937159.0,102062841.0,133000000.0,0.7673897819548873
Rams,2014.0,6.0,10.0,0.0,Bad,19930000.0,3635133.0,7202903.0,8642056.0,26104635.0,65514727.0,33755716.0,13534676.0,4207611.0,3599498.0,55097501.0,2087640.0,10300132.0,122699868.0,133000000.0,0.9225553984962406
Ravens,2014.0,10.0,6.0,0.0,Good,15578427.0,1891185.0,6901832.0,4991340.0,17897641.0,47260425.0,21184683.0,19631410.0,5389608.0,11857910.0,58063611.0,4507705.0,23168259.0,109831741.0,133000000.0,0.8258025639097745
Redskins,2014.0,4.0,12.0,0.0,Bad,7082926.0,2678257.0,18448822.0,3831981.0,26783400.0,58825386.0,22331951.0,20125647.0,3143824.0,7461353.0,53062775.0,1902500.0,19209339.0,113790661.0,133000000.0,0.8555688796992481
Saints,2014.0,7.0,9.0,0.0,Mediocre,19064118.0,5399617.0,12178739.0,6269241.0,25334966.0,68246681.0,9747350.0,14691920.0,9083250.0,8305918.0,41828438.0,4665000.0,18259881.0,114740119.0,133000000.0,0.8627076616541354
Seahawks,2014.0,12.0,4.0,0.0,Good,2227438.0,9949013.0,6213265.0,7238609.0,23505262.0,49133587.0,26292132.0,11003673.0,14824595.0,6488073.0,58608473.0,3987500.0,21270440.0,111729560.0,133000000.0,0.8400718796992481
Steelers,2014.0,11.0,5.0,0.0,Good,21333138.0,1669039.0,7942649.0,7847766.0,14731514.0,53524106.0,9360367.0,28650595.0,10751868.0,13352245.0,62115075.0,2817500.0,14543319.0,118456681.0,133000000.0,0.8906517368421053
Texans,2014.0,9.0,7.0,0.0,Mediocre,4907663.0,9457433.0,19869037.0,4412445.0,23390496.0,62037074.0,8559949.0,16201819.0,2839451.0,17795552.0,45396771.0,3491610.0,22074545.0,110925455.0,133000000.0,0.8340259774436091
Titans,2014.0,2.0,14.0,0.0,Bad,6035575.0,6946110.0,9394069.0,8033603.0,26321377.0,56730734.0,22530646.0,7346559.0,14007775.0,10683260.0,54568240.0,2631042.0,19069984.0,113930016.0,133000000.0,0.8566166616541353
Vikings,2014.0,7.0,9.0,0.0,Mediocre,10278077.0,13954903.0,10289462.0,3870027.0,24118962.0,62511431.0,25558005.0,13626014.0,3934664.0,7924243.0,51042926.0,2410531.0,17035112.0,115964888.0,133000000.0,0.8719164511278196
49ers,2015.0,5.0,11.0,0.0,Bad,17234471.0,4458248.0,13840026.0,2762661.0,19757909.0,58053315.0,8381362.0,20469116.0,8880119.0,6467970.0,44198567.0,5427550.0,35600568.0,107679432.0,143280000.0,0.7515314907872697
Bears,2015.0,6.0,10.0,0.0,Bad,16725388.0,11448751.0,12807674.0,7560294.0,17921204.0,66463311.0,5097132.0,22051239.0,8796854.0,6925380.0,42870605.0,4289856.0,29656228.0,113623772.0,143280000.0,0.7930190675600224
Bengals,2015.0,12.0,4.0,0.0,Good,10238778.0,4040770.0,18726078.0,3962305.0,26041777.0,63009708.0,25914276.0,20598622.0,8119150.0,16808890.0,71440938.0,5620000.0,3209354.0,140070646.0,143280000.0,0.9776008235622557
Bills,2015.0,8.0,8.0,0.0,Mediocre,3732738.0,7707163.0,12781663.0,5735146.0,15086305.0,45043015.0,43755012.0,7776423.0,5657363.0,16809630.0,73998428.0,4250000.0,19988557.0,123291443.0,143280000.0,0.8604930415968732
Broncos,2015.0,12.0,4.0,0.0,Good,19067139.0,2115642.0,23083075.0,7984142.0,25231140.0,77481138.0,18447328.0,15660017.0,11305871.0,13543730.0,58956946.0,3705000.0,3136916.0,140143084.0,143280000.0,0.9781063930764936
Browns,2015.0,3.0,13.0,0.0,Bad,8093954.0,1964338.0,14792090.0,5193030.0,27241456.0,57284868.0,16743626.0,21907486.0,11656943.0,23514408.0,73822463.0,2920000.0,9252669.0,134027331.0,143280000.0,0.9354224664991625
Buccaneers,2015.0,6.0,10.0,0.0,Bad,5965886.0,5081515.0,18129732.0,4336557.0,20141348.0,53655038.0,29415438.0,12188387.0,4087338.0,8260432.0,53951595.0,1514706.0,34158661.0,109121339.0,143280000.0,0.7615950516471245
Cardinals,2015.0,13.0,3.0,0.0,Good,11834168.0,2946734.0,16186291.0,5182957.0,29469242.0,65619392.0,24656866.0,15119938.0,4181310.0,22409565.0,66367679.0,1760500.0,9532429.0,133747571.0,143280000.0,0.9334699260189838
Chargers,2015.0,4.0,12.0,0.0,Bad,22989168.0,7201545.0,8556430.0,10790590.0,18814927.0,68352660.0,13769105.0,14749306.0,12240418.0,9571186.0,50330015.0,5666666.0,18930659.0,124349341.0,143280000.0,0.8678764726409827
Chiefs,2015.0,11.0,5.0,0.0,Good,21476940.0,9656539.0,6172669.0,2273413.0,16221401.0,55800962.0,11606841.0,21741283.0,14112700.0,11077574.0,58538398.0,4745666.0,24194974.0,119085026.0,143280000.0,0.8311350223338917
